agro_id,name_en,name_bn,agro_category,guessed_our_type,price_bdt,old_price_bdt,stock_status,vendor,url,image_url,match_slug,match_name_en,match_score
7325,Ciprocin-Vet Bolus 20's SQ,সিপ্রোসিন ভেট বোলাস ২০'স,Cattle > Cattle Medication > Antibiotics,vet_supply,381,400,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/ciprocin-vet-bolus-20s-sq,https://cdn.agromukam.com/images/p_img10263.webp,,,
7326,Ciprocin-Vet Inj 50ml,সিপ্রোসিন ভেট ইঞ্জেকশন ৫০মিলি,Cattle > Cattle Medication > Antibiotics,vet_supply,139,145.9,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/ciprocin-vet-inj-50ml,https://cdn.agromukam.com/images/p_img10264.webp,,,
7327,Ciprocin-Vet Injection 10ml,সিপ্রোসিন ভেট ইঞ্জেকশন ১০মিলি,Cattle > Cattle Medication > Antibiotics,vet_supply,39,40,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/ciprocin-vet-injection-10ml,https://cdn.agromukam.com/images/p_img10265.webp,,,
7328,Ciprocin-Vet Soln 100ml,সিপ্রোসিন ভেট সলিউশন ১০০মিলি,Cattle > Cattle Medication > Antibiotics,vet_supply,220,230.69,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/ciprocin-vet-soln-100ml,https://cdn.agromukam.com/images/p_img10266.webp,,,
7329,Ciprocin-Vet Soln 500ml,সিপ্রোসিন ভেট সলিউশন 5০০মিলি,Cattle > Cattle Medication > Antibiotics,vet_supply,1005,1057,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/ciprocin-vet-soln-500ml,https://cdn.agromukam.com/images/p_img10267.webp,,,
7331,Cotra- Vet Powder 500g,কট্রা ভেট পাউডার ৫০০গ্রাম,Cattle > Cattle Medication > Antibiotics,vet_supply,808,850,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/cotra-vet-powder-500g,https://cdn.agromukam.com/images/p_img10284.webp,milk-powder-500g,Milk Powder 500g,0.50
7332,Cotra-Vet Powder 100G,কট্রা ভেট পাউডার ১০০গ্রাম,Cattle > Cattle Medication > Antibiotics,vet_supply,198,208,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/cotra-vet-powder-100g,https://cdn.agromukam.com/images/p_img9854.webp,milk-powder-500g,Milk Powder 500g,0.50
7343,DB-Vitamin Lite Powder 1 kg,ডিবি-ভিটামিন লাইট পাউডার  ১ কেজি,Cattle > Cattle Nutrition > Vitamins & Minerals,feed,378,406,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/db-vitamin-lite-powder-1-kg,https://cdn.agromukam.com/images/p_img10338.webp,milk-powder-500g,Milk Powder 500g,0.50
7344,DB-Vitamin Powder 1 kg,ডিবি-ভিটামিন পাউডার ১ কেজি,Cattle > Cattle Nutrition > Vitamins & Minerals,feed,411,456,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/db-vitamin-powder-1-kg,https://cdn.agromukam.com/images/p_img10342.webp,milk-powder-500g,Milk Powder 500g,0.50
7345,DB-Vitamin Powder 100 g,ডিবি-ভিটামিন পাউডার ১০০ গ্রাম,Cattle > Cattle Nutrition > Vitamins & Minerals,feed,71,79,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/db-vitamin-powder-100-g,https://cdn.agromukam.com/images/p_img10341.webp,milk-powder-500g,Milk Powder 500g,0.50
7346,DB-Vitamin Powder 500 g,DB-Vitamin Powder 500 g,Cattle > Cattle Nutrition > Vitamins & Minerals,feed,249,276,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/db-vitamin-powder-500-g,https://cdn.agromukam.com/images/p_img10340.webp,milk-powder-500g,Milk Powder 500g,0.50
7347,Detox-Vet Powder 125 g,ডিটক্স-ভেট পাউডার ১২৫ গ্রাম,Cattle > Cattle Nutrition > Calcium Supplement,feed,184,213,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/detox-vet-powder-125-g,https://cdn.agromukam.com/images/p_img9863.webp,milk-powder-500g,Milk Powder 500g,0.50
7354,Dimi-Vet Inj 100ml,ডিমি-ভেট ইনজেকশন 100 মিলি,Cattle > Cattle Medication > Antibiotics,vet_supply,115,120,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/dimi-vet-inj-100ml,https://cdn.agromukam.com/images/p_img10345.webp,,,
7355,DL-Methionine 99% Powder 25 kg,DL-Methionine 99% Powder 25 kg,Cattle > Cattle Nutrition > Nutritional Suppliment,feed,10800,11600,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/dl-methionine-99-powder-25-kg,https://cdn.agromukam.com/images/p_img9866.webp,milk-powder-500g,Milk Powder 500g,0.50
7356,Doxacil- Vet Powder 10x10g,ডক্সাসিল-ভেট  পাউডার ১০x১০ গ্রাম,Cattle > Cattle Medication > Antibiotics,vet_supply,219,230,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/doxacil-vet-powder-10x10g,https://cdn.agromukam.com/images/p_img10346.webp,milk-powder-500g,Milk Powder 500g,0.50
7357,Doxacil- Vet Powder 500g,ডক্সাসিল-ভেট  পাউডার ৫০০ গ্রাম,Cattle > Cattle Medication > Antibiotics,vet_supply,808,850,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/doxacil-vet-powder-500g,https://cdn.agromukam.com/images/p_img10347.webp,milk-powder-500g,Milk Powder 500g,0.50
7358,Doxacil-Vet Powder 100g,ডক্সাসিল-ভেট  পাউডার ১০০ গ্রাম,Cattle > Cattle Medication > Antibiotics,vet_supply,191,200,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/doxacil-vet-powder-100g,https://cdn.agromukam.com/images/p_img11476.webp,milk-powder-500g,Milk Powder 500g,0.50
